path	bytes	subsystem	artifact_kind	responsibility	key_symbols_or_surface	expected_depth	actual_depth	status	inspector	evidence_refs	issue_ids	limitations_or_exclusion_reason
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AdminCreateCustomerRequest.java	2276	backend/auth-service	backend-dto	request/response/event shape	AdminCreateCustomerRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AuthAuditLogDto.java	913	backend/auth-service	backend-dto	request/response/event shape	AuthAuditLogDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AuthorityGrantDto.java	1247	backend/auth-service	backend-dto	request/response/event shape	AuthorityGrantDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\AuthResponse.java	1210	backend/auth-service	backend-dto	request/response/event shape	AuthResponse	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\ChangeEmailRequest.java	434	backend/auth-service	backend-dto	request/response/event shape	ChangeEmailRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\ChangePasswordRequest.java	906	backend/auth-service	backend-dto	request/response/event shape	ChangePasswordRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\CompleteProfileRequest.java	1150	backend/auth-service	backend-dto	request/response/event shape	CompleteProfileRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\CreateAuthorityGrantRequest.java	1639	backend/auth-service	backend-dto	request/response/event shape	CreateAuthorityGrantRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\CreateResourceLockRequest.java	731	backend/auth-service	backend-dto	request/response/event shape	CreateResourceLockRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\EffectiveAuthorityDto.java	1375	backend/auth-service	backend-dto	request/response/event shape	EffectiveAuthorityDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\ForgotPasswordRequest.java	471	backend/auth-service	backend-dto	request/response/event shape	ForgotPasswordRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\GoogleLoginRequest.java	292	backend/auth-service	backend-dto	request/response/event shape	GoogleLoginRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\LoginRequest.java	866	backend/auth-service	backend-dto	request/response/event shape	LoginRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\MfaCodeRequest.java	311	backend/auth-service	backend-dto	request/response/event shape	MfaCodeRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\MfaConfirmRequest.java	788	backend/auth-service	backend-dto	request/response/event shape	MfaConfirmRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\MfaEnrollmentResponse.java	186	backend/auth-service	backend-dto	request/response/event shape	MfaEnrollmentResponse	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\RefreshTokenRequest.java	357	backend/auth-service	backend-dto	request/response/event shape	RefreshTokenRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\RegisterRequest.java	2824	backend/auth-service	backend-dto	request/response/event shape	RegisterRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\ResetPasswordRequest.java	773	backend/auth-service	backend-dto	request/response/event shape	ResetPasswordRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\ResourceLockDto.java	578	backend/auth-service	backend-dto	request/response/event shape	ResourceLockDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\SelfUpdateProfileRequest.java	1822	backend/auth-service	backend-dto	request/response/event shape	SelfUpdateProfileRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\SupportContactDto.java	399	backend/auth-service	backend-dto	request/response/event shape	SupportContactDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\UpdateAccountPreferencesRequest.java	1723	backend/auth-service	backend-dto	request/response/event shape	UpdateAccountPreferencesRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\UpdateCustomerRequest.java	1944	backend/auth-service	backend-dto	request/response/event shape	UpdateCustomerRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\UserDto.java	2234	backend/auth-service	backend-dto	request/response/event shape	UserDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\UserSessionDto.java	832	backend/auth-service	backend-dto	request/response/event shape	UserSessionDto	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\VerifyEmailChangeRequest.java	731	backend/auth-service	backend-dto	request/response/event shape	VerifyEmailChangeRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\VerifyEmailRequest.java	783	backend/auth-service	backend-dto	request/response/event shape	VerifyEmailRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\dto\VerifyOtpRequest.java	875	backend/auth-service	backend-dto	request/response/event shape	VerifyOtpRequest	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\AuthAuditLog.java	1749	backend/auth-service	backend-entity	persistent domain model	AuthAuditLog	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\AuthorityGrant.java	4350	backend/auth-service	backend-entity	persistent domain model	AuthorityGrant	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\EmailVerificationToken.java	1943	backend/auth-service	backend-entity	persistent domain model	EmailVerificationToken	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\PasswordHistoryEntry.java	980	backend/auth-service	backend-entity	persistent domain model	PasswordHistoryEntry	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\PasswordResetToken.java	1399	backend/auth-service	backend-entity	persistent domain model	PasswordResetToken	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\ResourceLock.java	2775	backend/auth-service	backend-entity	persistent domain model	ResourceLock	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\RevokedToken.java	1272	backend/auth-service	backend-entity	persistent domain model	RevokedToken	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\SiteContent.java	1063	backend/auth-service	backend-entity	persistent domain model	SiteContent	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\User.java	8839	backend/auth-service	backend-entity	persistent domain model	User	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\entity\UserSession.java	2537	backend/auth-service	backend-entity	persistent domain model	UserSession	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\health\DatabaseHealthIndicator.java	974	backend/auth-service	source-or-artifact	repository asset	DatabaseHealthIndicator	A	C	census	Codex census	final-file-coverage census		Classified only; behavioral content not deeply inspected
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\AuthAuditLogRepository.java	1127	backend/auth-service	backend-repository	persistence query/locking contract	AuthAuditLogRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\AuthorityGrantRepository.java	2712	backend/auth-service	backend-repository	persistence query/locking contract	AuthorityGrantRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\EmailVerificationTokenRepository.java	1154	backend/auth-service	backend-repository	persistence query/locking contract	EmailVerificationTokenRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\PasswordHistoryRepository.java	656	backend/auth-service	backend-repository	persistence query/locking contract	PasswordHistoryRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\PasswordResetTokenRepository.java	1255	backend/auth-service	backend-repository	persistence query/locking contract	PasswordResetTokenRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\ResourceLockRepository.java	1144	backend/auth-service	backend-repository	persistence query/locking contract	ResourceLockRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\RevokedTokenRepository.java	663	backend/auth-service	backend-repository	persistence query/locking contract	RevokedTokenRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		SENSITIVE - names/patterns only; values redacted
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\SiteContentRepository.java	250	backend/auth-service	backend-repository	persistence query/locking contract	SiteContentRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\UserRepository.java	4026	backend/auth-service	backend-repository	persistence query/locking contract	UserRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\repository\UserSessionRepository.java	1582	backend/auth-service	backend-repository	persistence query/locking contract	UserSessionRepository	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\security\JwtProvider.java	12316	backend/auth-service	backend-integration	external/event/configuration integration	JwtProvider	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\security\SecurityConfig.java	5439	backend/auth-service	backend-integration	external/event/configuration integration	SecurityConfig	A	B	partial	Codex/current catalog sweep	final-file-coverage census		Structural/contract inspection; not whole-file logic proof
backend\auth-service\src\main\java\com\skbingegalaxy\auth\service\AuthAuditService.java	5670	backend/auth-service	backend-service	domain/application transaction logic	AuthAuditService	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\service\AuthorityService.java	20150	backend/auth-service	backend-service	domain/application transaction logic	AuthorityService	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
backend\auth-service\src\main\java\com\skbingegalaxy\auth\service\AuthService.java	102905	backend/auth-service	backend-service	domain/application transaction logic	AuthService	A	B	partial	Prior audit + Codex census	final-file-coverage census		Structural or targeted inspection; no claim of exhaustive behavior
